,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type,new slot,new arrival,eta slot,instance
0,0,FD0,0,0,0,0.5099125910396817,16,D,0.8046233115116568,0,E190,0,0,0,0
1,1,FC1,1,2,2,0.023049528660295082,20,C,1.4029353890552771,1,A321,1,2,1,0
2,2,FC2,2,4,4,0.47798096559124026,29,C,0.7496377745007073,2,AT72,2,4,1,0
3,3,FA3,3,6,6,0.033814325377119814,28,A,1.564122641103908,3,DH8D,3,6,2,0
4,4,FA4,4,8,8,0.0,42,A,1.6188634153724266,4,AT72,4,8,2,0
5,5,FB5,5,10,10,0.0,38,B,1.5325702629886229,5,A332,5,10,3,0
6,6,FC6,6,12,12,0.41705285637624734,43,C,0.8371326917084561,6,B752,6,12,3,0
7,7,FB13,13,14,26,0.06675389178269131,43,B,1.4302652335037096,13,A319,7,14,7,0
8,8,FD12,12,16,24,0.08608445467529513,40,D,1.5004624462422917,12,A321,8,16,6,0
9,9,FC16,16,18,32,0.5562630927083912,49,C,0.6372218745292679,16,AT72,9,18,8,0
10,10,FA18,18,20,36,0.619171440357884,44,A,0.6165094227335979,18,B763,10,20,9,0
11,11,FA10,10,22,20,0.4936278098259199,39,A,0.8197474132348271,10,B763,11,22,5,0
12,12,FD15,15,24,30,0.04422633795471309,52,D,1.5691849146705374,15,A319,12,24,8,0
13,13,FB19,19,26,38,0.48663039738993386,40,B,0.7867749868824738,19,A320,13,26,10,0
14,14,FD14,14,28,28,0.11726692613056588,31,D,1.449267204363533,14,B735,14,28,7,0
15,15,FD8,8,30,16,0.0,48,D,1.6417955181068649,8,E190,15,30,4,0
16,16,FC9,9,32,18,0.0,25,C,1.4360353264699424,9,AT72,16,32,5,0
17,17,FB7,7,34,14,0.01530716158839196,29,B,1.5091109623274916,7,B733,17,34,4,0
18,18,FA11,11,36,22,0.07456159233910231,48,A,1.4981583813427408,11,AT43,18,36,6,0
19,19,FB17,17,38,34,0.5524375613425653,39,B,0.6859208843170541,17,B735,19,38,9,0
20,0,FB0,0,0,0,0.0,34,B,1.4309760819987425,0,B738,0,0,0,1
21,1,FB1,1,2,2,0.5184961750928885,17,B,0.6890204568329871,1,E190,1,2,1,1
22,2,FC2,2,4,4,0.5172967995176401,27,C,0.7042223039346918,2,A319,2,4,1,1
23,3,FA3,3,6,6,0.5460984871380383,42,A,0.6997112931380346,3,AT43,3,6,2,1
24,4,FD8,8,8,16,0.5672220384455882,35,D,0.6742626921427792,8,A332,4,8,4,1
25,5,FD4,4,10,8,0.49491228564026146,46,D,0.7869203894515377,4,E190,5,10,2,1
26,6,FC9,9,12,18,0.0,33,C,1.458913682840657,9,B763,6,12,5,1
27,7,FC6,6,14,12,0.6257087053633564,48,C,0.5460586911135431,6,B733,7,14,3,1
28,8,FD15,15,16,30,0.0,47,D,1.5579875872630502,15,A320,8,16,8,1
29,9,FC7,7,18,14,0.6339121092696373,35,C,0.5340906329088015,7,DH8D,9,18,4,1
30,10,FA14,14,20,28,0.08477258004774291,53,A,1.4108676516461283,14,B752,10,20,7,1
31,11,FD11,11,22,22,0.5809249361848429,51,D,0.6529137475554855,11,AT72,11,22,6,1
32,12,FA13,13,24,26,0.0,53,A,1.5415487133457237,13,B752,12,24,7,1
33,13,FA10,10,26,20,0.4771516988371315,49,A,0.8059961259326174,10,A320,13,26,5,1
34,14,FA12,12,28,24,0.4917386377138452,35,A,0.7835096490755667,12,DH8D,14,28,6,1
35,15,FD5,5,30,10,0.05792395257159533,43,D,1.467742788151291,5,AT43,15,30,3,1
36,16,FB16,16,32,32,0.4921261612644914,43,B,0.7267553159033994,16,B738,16,32,8,1
37,17,FB18,18,34,36,0.5822009391704008,42,B,0.5978604631286941,18,B734,17,34,9,1
38,18,FB17,17,36,34,0.09762860251983663,57,B,1.2912718868738942,17,B735,18,36,9,1
39,19,FC19,19,38,38,0.5085715875589434,44,C,0.7169516350469192,19,A319,19,38,10,1
40,0,FA0,0,0,0,0.5393724194269283,26,A,0.616874040287563,0,B763,0,0,0,2
41,1,FB1,1,2,2,0.42517968363969993,30,B,0.8658846736912837,1,DH8D,1,2,1,2
42,2,FC2,2,4,4,0.09310172430320396,27,C,1.4277828584390109,2,B733,2,4,1,2
43,3,FD3,3,6,6,0.0413438974142174,23,D,1.4725932208466856,3,AT72,3,6,2,2
44,4,FA4,4,8,8,0.48900132475365277,26,A,0.6843311835314674,4,A320,4,8,2,2
45,5,FC6,6,10,12,0.10068111437491922,24,C,1.4158501825129228,6,A332,5,10,3,2
46,6,FC10,10,12,20,0.0,26,C,1.574358334006098,10,B763,6,12,5,2
47,7,FB8,8,14,16,0.15539318225539323,52,B,1.2722794897211323,8,B735,7,14,4,2
48,8,FB15,15,16,30,0.54539161442387,43,B,0.6848025763848857,15,B738,8,16,8,2
49,9,FC9,9,18,18,0.5490234451774599,24,C,0.7099986975262239,9,B738,9,18,5,2
50,10,FC5,5,20,10,0.5342467488580189,26,C,0.733262512525813,5,AT72,10,20,3,2
51,11,FA16,16,22,32,0.5567662970307339,46,A,0.5935800995722071,16,A332,11,22,8,2
52,12,FB12,12,24,24,0.3822030470321294,33,B,0.9306228360459523,12,E190,12,24,6,2
53,13,FD17,17,26,34,0.5560198314049942,57,D,0.6819986694914617,17,A332,13,26,9,2
54,14,FD14,14,28,28,0.0022775349947878887,58,D,1.5326031246138645,14,A332,14,28,7,2
55,15,FB7,7,30,14,0.0,45,B,1.5063571155138906,7,AT72,15,30,4,2
56,16,FA18,18,32,36,0.47604466546735114,36,A,0.7016827862136745,18,B738,16,32,9,2
57,17,FD13,13,34,26,0.0729713036533366,51,D,1.424010309941444,13,A332,17,34,7,2
58,18,FA11,11,36,22,0.0,32,A,1.339203439620579,11,A320,18,36,6,2
59,19,FD19,19,38,38,0.0,45,D,1.5361016498770108,19,B763,19,38,10,2
60,0,FC0,0,0,0,0.05884516126481443,24,C,1.6313161959824682,0,A319,0,0,0,3
61,1,FB1,1,2,2,0.0,31,B,0.7954138511712587,1,AT43,1,2,1,3
62,2,FA4,4,4,8,0.01626929146478595,26,A,1.5942147351973042,4,A332,2,4,2,3
63,3,FD3,3,6,6,0.09398102891496374,43,D,1.4950552396609142,3,AT43,3,6,2,3
64,4,FA7,7,8,14,0.011776412123806868,37,A,1.6014958075341814,7,A321,4,8,4,3
65,5,FC5,5,10,10,0.5339590571887483,20,C,0.8077949628571691,5,A332,5,10,3,3
66,6,FB8,8,12,16,0.27597424615763577,39,B,0.5759001132109287,8,DH8D,6,12,4,3
67,7,FA10,10,14,20,0.0,47,A,1.6205804305642828,10,A321,7,14,5,3
68,8,FB16,16,16,32,0.28191749812834654,52,B,0.5711727682724245,16,A321,8,16,8,3
69,9,FD9,9,18,18,0.08035074645049589,53,D,1.517547070259292,9,B733,9,18,5,3
70,10,FA17,17,20,34,0.5147978710921748,46,A,0.7863090749761501,17,B738,10,20,9,3
71,11,FC11,11,22,22,0.45773078430088465,39,C,0.939922441817868,11,B752,11,22,6,3
72,12,FC12,12,24,24,0.0,33,C,1.7333132964335474,12,B752,12,24,6,3
73,13,FD14,14,26,28,0.034887443981641564,45,D,1.5925677384103676,14,B735,13,26,7,3
74,14,FD13,13,28,26,0.0,31,D,1.6501367933504263,13,DH8D,14,28,7,3
75,15,FC15,15,30,30,0.6186528611637343,35,C,0.6609940663017893,15,B735,15,30,8,3
76,16,FB19,19,32,38,0.14332265346557627,47,B,0.6814130274181209,19,B735,16,32,10,3
77,17,FA2,2,34,4,0.6050467723923936,39,A,0.6400534716490881,2,A319,17,34,1,3
78,18,FD18,18,36,36,0.17177822456744918,48,D,1.3666792246952664,18,DH8D,18,36,9,3
79,19,FB6,6,38,12,0.37846237132231364,39,B,0.4943796388743703,6,AT43,19,38,3,3
80,0,FC0,0,0,0,0.08296372398735041,23,C,1.4994834577060259,0,A319,0,0,0,4
81,1,FA1,1,2,2,0.0,45,A,0.7398049813599774,1,B733,1,2,1,4
82,2,FB2,2,4,4,0.0,45,B,1.5775775685561746,2,B744,2,4,1,4
83,3,FD3,3,6,6,0.5118153648557227,45,D,0.7760995357757441,3,E190,3,6,2,4
84,4,FC4,4,8,8,0.021232765793765318,40,C,1.6004222679372868,4,A321,4,8,2,4
85,5,FA5,5,10,10,0.06806078030691798,22,A,0.6894532770536724,5,B744,5,10,3,4
86,6,FB8,8,12,16,0.5038957018558328,45,B,0.7826430124165428,8,A321,6,12,4,4
87,7,FC7,7,14,14,0.5086008336397175,31,C,0.8035068408543643,7,AT72,7,14,4,4
88,8,FB9,9,16,18,0.5223871998791648,41,B,0.7534712399259333,9,E190,8,16,5,4
89,9,FB6,6,18,12,0.04842057216586415,25,B,1.5011903600506518,6,AT43,9,18,3,4
90,10,FD10,10,20,20,0.07074184903584668,47,D,1.4773033964208322,10,B763,10,20,5,4
91,11,FD11,11,22,22,0.0,50,D,1.5897664119362889,11,B752,11,22,6,4
92,12,FA18,18,24,36,0.1659123807183458,60,A,0.6170621756352521,18,A320,12,24,9,4
93,13,FD13,13,26,26,0.09990096426770678,48,D,1.4309472144234412,13,B733,13,26,7,4
94,14,FD14,14,28,28,0.5387359197326829,40,D,0.7333021418416651,14,E190,14,28,7,4
95,15,FA15,15,30,30,0.083602954742509,54,A,0.6779550989850565,15,B733,15,30,8,4
96,16,FC16,16,32,32,0.0,41,C,1.6351408302252832,16,A332,16,32,8,4
97,17,FC17,17,34,34,0.5782563092257904,41,C,0.6896103286748163,17,A321,17,34,9,4
98,18,FA12,12,36,24,0.005919945857885023,39,A,0.7354253759249327,12,AT43,18,36,6,4
99,19,FB19,19,38,38,0.6836227578841132,57,B,0.499109640363689,19,B763,19,38,10,4
