flight 5 15 30 60 90 120 180 240 300
B733 210 850 2400 8710 21690 39580 54090 73210 97720
B734 250 980 2730 9910 24670 44930 61300 82730 109970
B735 180 740 2090 7680 19200 35140 48090 65310 87580
B738 250 1020 2910 10790 27160 49610 67530 90940 120570
B752 290 1180 3420 12880 32640 59670 81010 108730 143480
B763 480 1830 5070 18510 45560 92770 133090 167800 210660
B744 710 2760 7780 29000 72060 147460 211020 264690 330020
A319 220 890 2510 9130 22760 41470 56660 76660 102220
A320 250 1000 2820 10370 25940 47270 64460 86940 115440
A321 280 1130 3260 12210 30880 56400 76670 103060 136260
AT43 70 290 830 3030 7590 14130 19830 28060 39730
AT72 90 370 1090 4130 10490 19490 26980 37480 51870
DH8D 110 450 1280 4690 11720 21570 29840 41270 56710
E190 180 690 1880 6600 16150 29350 40430 55240 74620
A332 470 1840 5250 19880 49730 102150 146340 184100 230690
