flight 0 5 15 30 60 90 120 180 240 300
B733 0 70 430 1550 7020 19160 36220 49040 66480 89310
B734 0 80 480 1740 7930 21690 40960 55340 74780 100040
B735 0 70 390 1400 6280 17110 32350 43900 59720 80590
B738 0 90 540 1940 8860 24270 45750 61740 83220 110920
B752 0 100 620 2290 10620 29250 55150 74240 99700 132200
B763 0 170 900 3200 14780 39960 85300 121880 152860 191990
B744 0 240 1370 5000 23430 63710 136330 194330 242440 302200
A319 0 70 440 1600 7320 20040 37850 51240 69420 93180
A320 0 80 500 1820 8350 22920 43250 58420 78890 105380
A321 0 100 580 2160 10010 27580 51990 70060 94250 125240
AT43 0 30 180 610 2610 6960 13290 18550 26360 37610
AT72 0 40 240 820 3600 9690 18430 25380 35350 49210
DH8D 0 40 250 890 3900 10530 19990 27480 38120 52780
E190 0 60 320 1150 5140 13970 26440 36060 49420 67340
A332 0 180 990 3550 16480 44620 95330 136120 170480 213660
