,slot,flight,eta,fpfs,time,priority,margins,airline,cost,num,type
0,0,FD0,0,0,0,1.5864436198859506,31,D,1.5864436198859506,0,A321
1,1,FA1,1,2,2,1.4257834979593558,28,A,1.4257834979593558,1,AT43
2,2,FD2,2,4,4,1.7269754623987608,34,D,1.7269754623987608,2,B752
3,3,FB3,3,6,6,1.3545634325401235,38,B,1.3545634325401235,3,AT72
4,4,FC4,4,8,8,0.7045758517301446,46,C,0.7045758517301446,4,B752
5,5,FD5,5,10,10,0.6812816149974166,31,D,0.6812816149974166,5,B744
6,6,FB6,6,12,12,1.6532779214358457,26,B,1.6532779214358457,6,B752
7,7,FC7,7,14,14,0.8469358769900285,47,C,0.8469358769900285,7,B752
8,8,FA8,8,16,16,1.5154947425696916,41,A,1.5154947425696916,8,B738
9,9,FA9,9,18,18,1.5378162519602174,40,A,1.5378162519602174,9,DH8D
10,10,FB10,10,20,20,0.6112214252369886,52,B,0.6112214252369886,10,B752
11,11,FC11,11,22,22,0.5019203531776073,40,C,0.5019203531776073,11,B752
12,12,FB12,12,24,24,1.4652087850673847,47,B,1.4652087850673847,12,A320
13,13,FB13,13,26,26,1.515634896910398,43,B,1.515634896910398,13,A332
14,14,FD14,14,28,28,0.8230290680727721,38,D,0.8230290680727721,14,B752
15,15,FC15,15,30,30,0.8202379848784411,49,C,0.8202379848784411,15,B738
16,16,FA16,16,32,32,0.6612673182592047,55,A,0.6612673182592047,16,AT43
17,17,FA17,17,34,34,1.4697697249424664,61,A,1.4697697249424664,17,A319
18,18,FD18,18,36,36,0.5951447034932906,52,D,0.5951447034932906,18,E190
19,19,FC19,19,38,38,0.5579982062821024,40,C,0.5579982062821024,19,B763
